DataYear,Testname,TestDate,DistrictNumber,DistrictType,SchoolNumber,DistrictName,SchoolName,Grade,Subject,ReportOrder,ReportCategory,ReportDescription,Filtered,CountTested,CountLevel1,CountLevel2,CountLevel3,CountLevel4,CountLevel5,PercentLevel1,PercentLevel2,PercentLevel3,PercentLevel4,PercentLevel5,AverageScore,AverageScorePrompt1,AverageScorePrompt2,AverageScorePrompt3,AverageScorePrompt4,SchoolClassification,GradeEnrollment,K12Enrollment,FilterThreshold,PublicSchool,index,City,District,School
00-01,MCA,03/27/2001,4004,7,10,"CEDAR RIVERSIDE COMMUNITY SCHOOL   ","CEDAR RIVERSIDE COMMUNITY SCHOOL   ",5,M,5,Race/Ethnicity,4-Black,Y,7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10,9,101,9,Y,92,Minneapolis,"CEDAR RIVERSIDE COMMUNITY SCHOOL","CEDAR RIVERSIDE COMMUNITY SCHOOL"
00-01,MCA,03/27/2001,4004,7,10,"CEDAR RIVERSIDE COMMUNITY SCHOOL   ","CEDAR RIVERSIDE COMMUNITY SCHOOL   ",5,M,7,Gender,Male,Y,5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10,9,101,9,Y,92,Minneapolis,"CEDAR RIVERSIDE COMMUNITY SCHOOL","CEDAR RIVERSIDE COMMUNITY SCHOOL"
00-01,MCA,03/27/2001,4004,7,10,"CEDAR RIVERSIDE COMMUNITY SCHOOL   ","CEDAR RIVERSIDE COMMUNITY SCHOOL   ",5,M,8,Gender,Female,Y,5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10,9,101,9,Y,92,Minneapolis,"CEDAR RIVERSIDE COMMUNITY SCHOOL","CEDAR RIVERSIDE COMMUNITY SCHOOL"
00-01,MCA,03/27/2001,4004,7,10,"CEDAR RIVERSIDE COMMUNITY SCHOOL   ","CEDAR RIVERSIDE COMMUNITY SCHOOL   ",5,M,9,"Special Education","Receiving Special Education Services",Y,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10,9,101,9,Y,92,Minneapolis,"CEDAR RIVERSIDE COMMUNITY SCHOOL","CEDAR RIVERSIDE COMMUNITY SCHOOL"
00-01,MCA,03/27/2001,4004,7,10,"CEDAR RIVERSIDE COMMUNITY SCHOOL   ","CEDAR RIVERSIDE COMMUNITY SCHOOL   ",5,M,10,"Limited English Proficient","Eligible for LEP Services",Y,7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10,9,101,9,Y,92,Minneapolis,"CEDAR RIVERSIDE COMMUNITY SCHOOL","CEDAR RIVERSIDE COMMUNITY SCHOOL"
00-01,MCA,03/27/2001,4004,7,10,"CEDAR RIVERSIDE COMMUNITY SCHOOL   ","CEDAR RIVERSIDE COMMUNITY SCHOOL   ",5,M,11,EconomicStatus,"Eligible for Free/Reduced Priced Meals",Y,9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10,9,101,9,Y,92,Minneapolis,"CEDAR RIVERSIDE COMMUNITY SCHOOL","CEDAR RIVERSIDE COMMUNITY SCHOOL"
00-01,MCA,03/27/2001,4004,7,10,"CEDAR RIVERSIDE COMMUNITY SCHOOL   ","CEDAR RIVERSIDE COMMUNITY SCHOOL   ",5,M,12,"Student Stability","Enrolled in Same School On October 1",Y,8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10,9,101,9,Y,92,Minneapolis,"CEDAR RIVERSIDE COMMUNITY SCHOOL","CEDAR RIVERSIDE COMMUNITY SCHOOL"
00-01,MCA,03/13/2001,4004,7,10,"CEDAR RIVERSIDE COMMUNITY SCHOOL   ","CEDAR RIVERSIDE COMMUNITY SCHOOL   ",5,R,1,"All Categories","All Students",N,10,5,4,1,0,0,50,40,10,0,0,1260,NULL,NULL,NULL,NULL,10,9,101,9,Y,92,Minneapolis,"CEDAR RIVERSIDE COMMUNITY SCHOOL","CEDAR RIVERSIDE COMMUNITY SCHOOL"
00-01,MCA,03/13/2001,4004,7,10,"CEDAR RIVERSIDE COMMUNITY SCHOOL   ","CEDAR RIVERSIDE COMMUNITY SCHOOL   ",5,R,3,Race/Ethnicity,"2-Asian / Pacific Islander",Y,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10,9,101,9,Y,92,Minneapolis,"CEDAR RIVERSIDE COMMUNITY SCHOOL","CEDAR RIVERSIDE COMMUNITY SCHOOL"
00-01,MCA,03/13/2001,4004,7,10,"CEDAR RIVERSIDE COMMUNITY SCHOOL   ","CEDAR RIVERSIDE COMMUNITY SCHOOL   ",5,R,5,Race/Ethnicity,4-Black,Y,7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10,9,101,9,Y,92,Minneapolis,"CEDAR RIVERSIDE COMMUNITY SCHOOL","CEDAR RIVERSIDE COMMUNITY SCHOOL"
00-01,MCA,03/13/2001,4004,7,10,"CEDAR RIVERSIDE COMMUNITY SCHOOL   ","CEDAR RIVERSIDE COMMUNITY SCHOOL   ",5,R,7,Gender,Male,Y,5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10,9,101,9,Y,92,Minneapolis,"CEDAR RIVERSIDE COMMUNITY SCHOOL","CEDAR RIVERSIDE COMMUNITY SCHOOL"
00-01,MCA,03/13/2001,4004,7,10,"CEDAR RIVERSIDE COMMUNITY SCHOOL   ","CEDAR RIVERSIDE COMMUNITY SCHOOL   ",5,R,8,Gender,Female,Y,5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10,9,101,9,Y,92,Minneapolis,"CEDAR RIVERSIDE COMMUNITY SCHOOL","CEDAR RIVERSIDE COMMUNITY SCHOOL"
00-01,MCA,03/13/2001,4004,7,10,"CEDAR RIVERSIDE COMMUNITY SCHOOL   ","CEDAR RIVERSIDE COMMUNITY SCHOOL   ",5,R,9,"Special Education","Receiving Special Education Services",Y,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10,9,101,9,Y,92,Minneapolis,"CEDAR RIVERSIDE COMMUNITY SCHOOL","CEDAR RIVERSIDE COMMUNITY SCHOOL"
00-01,MCA,03/13/2001,4004,7,10,"CEDAR RIVERSIDE COMMUNITY SCHOOL   ","CEDAR RIVERSIDE COMMUNITY SCHOOL   ",5,R,10,"Limited English Proficient","Eligible for LEP Services",Y,7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10,9,101,9,Y,92,Minneapolis,"CEDAR RIVERSIDE COMMUNITY SCHOOL","CEDAR RIVERSIDE COMMUNITY SCHOOL"
00-01,MCA,03/13/2001,4004,7,10,"CEDAR RIVERSIDE COMMUNITY SCHOOL   ","CEDAR RIVERSIDE COMMUNITY SCHOOL   ",5,R,11,EconomicStatus,"Eligible for Free/Reduced Priced Meals",Y,9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10,9,101,9,Y,92,Minneapolis,"CEDAR RIVERSIDE COMMUNITY SCHOOL","CEDAR RIVERSIDE COMMUNITY SCHOOL"
00-01,MCA,03/13/2001,4004,7,10,"CEDAR RIVERSIDE COMMUNITY SCHOOL   ","CEDAR RIVERSIDE COMMUNITY SCHOOL   ",5,R,12,"Student Stability","Enrolled in Same School On October 1",Y,8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10,9,101,9,Y,92,Minneapolis,"CEDAR RIVERSIDE COMMUNITY SCHOOL","CEDAR RIVERSIDE COMMUNITY SCHOOL"
00-01,MCA,03/15/2001,4004,7,10,"CEDAR RIVERSIDE COMMUNITY SCHOOL   ","CEDAR RIVERSIDE COMMUNITY SCHOOL   ",5,W,1,"All Categories","All Students",N,10,3,2,2,3,0,30,20,20,30,0,NULL,965,1220,1210,1393.33,10,9,101,9,Y,92,Minneapolis,"CEDAR RIVERSIDE COMMUNITY SCHOOL","CEDAR RIVERSIDE COMMUNITY SCHOOL"
00-01,MCA,03/15/2001,4004,7,10,"CEDAR RIVERSIDE COMMUNITY SCHOOL   ","CEDAR RIVERSIDE COMMUNITY SCHOOL   ",5,W,3,Race/Ethnicity,"2-Asian / Pacific Islander",Y,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10,9,101,9,Y,92,Minneapolis,"CEDAR RIVERSIDE COMMUNITY SCHOOL","CEDAR RIVERSIDE COMMUNITY SCHOOL"
00-01,MCA,03/15/2001,4004,7,10,"CEDAR RIVERSIDE COMMUNITY SCHOOL   ","CEDAR RIVERSIDE COMMUNITY SCHOOL   ",5,W,5,Race/Ethnicity,4-Black,Y,7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10,9,101,9,Y,92,Minneapolis,"CEDAR RIVERSIDE COMMUNITY SCHOOL","CEDAR RIVERSIDE COMMUNITY SCHOOL"
00-01,MCA,03/15/2001,4004,7,10,"CEDAR RIVERSIDE COMMUNITY SCHOOL   ","CEDAR RIVERSIDE COMMUNITY SCHOOL   ",5,W,7,Gender,Male,Y,5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10,9,101,9,Y,92,Minneapolis,"CEDAR RIVERSIDE COMMUNITY SCHOOL","CEDAR RIVERSIDE COMMUNITY SCHOOL"
00-01,MCA,03/15/2001,4004,7,10,"CEDAR RIVERSIDE COMMUNITY SCHOOL   ","CEDAR RIVERSIDE COMMUNITY SCHOOL   ",5,W,8,Gender,Female,Y,5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10,9,101,9,Y,92,Minneapolis,"CEDAR RIVERSIDE COMMUNITY SCHOOL","CEDAR RIVERSIDE COMMUNITY SCHOOL"
00-01,MCA,03/15/2001,4004,7,10,"CEDAR RIVERSIDE COMMUNITY SCHOOL   ","CEDAR RIVERSIDE COMMUNITY SCHOOL   ",5,W,9,"Special Education","Receiving Special Education Services",Y,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10,9,101,9,Y,92,Minneapolis,"CEDAR RIVERSIDE COMMUNITY SCHOOL","CEDAR RIVERSIDE COMMUNITY SCHOOL"
00-01,MCA,03/15/2001,4004,7,10,"CEDAR RIVERSIDE COMMUNITY SCHOOL   ","CEDAR RIVERSIDE COMMUNITY SCHOOL   ",5,W,10,"Limited English Proficient","Eligible for LEP Services",Y,7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10,9,101,9,Y,92,Minneapolis,"CEDAR RIVERSIDE COMMUNITY SCHOOL","CEDAR RIVERSIDE COMMUNITY SCHOOL"
00-01,MCA,03/15/2001,4004,7,10,"CEDAR RIVERSIDE COMMUNITY SCHOOL   ","CEDAR RIVERSIDE COMMUNITY SCHOOL   ",5,W,11,EconomicStatus,"Eligible for Free/Reduced Priced Meals",Y,9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10,9,101,9,Y,92,Minneapolis,"CEDAR RIVERSIDE COMMUNITY SCHOOL","CEDAR RIVERSIDE COMMUNITY SCHOOL"
00-01,MCA,03/15/2001,4004,7,10,"CEDAR RIVERSIDE COMMUNITY SCHOOL   ","CEDAR RIVERSIDE COMMUNITY SCHOOL   ",5,W,12,"Student Stability","Enrolled in Same School On October 1",Y,8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10,9,101,9,Y,92,Minneapolis,"CEDAR RIVERSIDE COMMUNITY SCHOOL","CEDAR RIVERSIDE COMMUNITY SCHOOL"
00-01,MCA,03/27/2001,4015,7,10,"COMMUNITY OF PEACE ACADEMY         ","COMMUNITY OF PEACE ACADEMY         ",3,M,1,"All Categories","All Students",N,44,16,22,4,2,0,36.36,50,9.09,4.55,0,1236.36,NULL,NULL,NULL,NULL,40,44,422,9,Y,109,"Saint Paul","COMMUNITY OF PEACE ACADEMY","COMMUNITY OF PEACE ACADEMY"
00-01,MCA,03/27/2001,4015,7,10,"COMMUNITY OF PEACE ACADEMY         ","COMMUNITY OF PEACE ACADEMY         ",3,M,3,Race/Ethnicity,"2-Asian / Pacific Islander",N,31,8,18,4,1,0,25.81,58.06,12.9,3.23,0,1285.16,NULL,NULL,NULL,NULL,40,44,422,9,Y,109,"Saint Paul","COMMUNITY OF PEACE ACADEMY","COMMUNITY OF PEACE ACADEMY"
00-01,MCA,03/27/2001,4015,7,10,"COMMUNITY OF PEACE ACADEMY         ","COMMUNITY OF PEACE ACADEMY         ",3,M,4,Race/Ethnicity,3-Hispanic,Y,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,40,44,422,9,Y,109,"Saint Paul","COMMUNITY OF PEACE ACADEMY","COMMUNITY OF PEACE ACADEMY"
00-01,MCA,03/27/2001,4015,7,10,"COMMUNITY OF PEACE ACADEMY         ","COMMUNITY OF PEACE ACADEMY         ",3,M,5,Race/Ethnicity,4-Black,Y,9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,40,44,422,9,Y,109,"Saint Paul","COMMUNITY OF PEACE ACADEMY","COMMUNITY OF PEACE ACADEMY"
00-01,MCA,03/27/2001,4015,7,10,"COMMUNITY OF PEACE ACADEMY         ","COMMUNITY OF PEACE ACADEMY         ",3,M,6,Race/Ethnicity,5-White,Y,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,40,44,422,9,Y,109,"Saint Paul","COMMUNITY OF PEACE ACADEMY","COMMUNITY OF PEACE ACADEMY"
00-01,MCA,03/27/2001,4015,7,10,"COMMUNITY OF PEACE ACADEMY         ","COMMUNITY OF PEACE ACADEMY         ",3,M,7,Gender,Male,N,24,9,11,3,1,0,37.5,45.83,12.5,4.17,0,1228.75,NULL,NULL,NULL,NULL,40,44,422,9,Y,109,"Saint Paul","COMMUNITY OF PEACE ACADEMY","COMMUNITY OF PEACE ACADEMY"
00-01,MCA,03/27/2001,4015,7,10,"COMMUNITY OF PEACE ACADEMY         ","COMMUNITY OF PEACE ACADEMY         ",3,M,8,Gender,Female,N,20,7,11,1,1,0,35,55,5,5,0,1245.5,NULL,NULL,NULL,NULL,40,44,422,9,Y,109,"Saint Paul","COMMUNITY OF PEACE ACADEMY","COMMUNITY OF PEACE ACADEMY"
00-01,MCA,03/27/2001,4015,7,10,"COMMUNITY OF PEACE ACADEMY         ","COMMUNITY OF PEACE ACADEMY         ",3,M,9,"Special Education","Receiving Special Education Services",Y,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,40,44,422,9,Y,109,"Saint Paul","COMMUNITY OF PEACE ACADEMY","COMMUNITY OF PEACE ACADEMY"
00-01,MCA,03/27/2001,4015,7,10,"COMMUNITY OF PEACE ACADEMY         ","COMMUNITY OF PEACE ACADEMY         ",3,M,10,"Limited English Proficient","Eligible for LEP Services",N,20,8,11,1,0,0,40,55,5,0,0,1230,NULL,NULL,NULL,NULL,40,44,422,9,Y,109,"Saint Paul","COMMUNITY OF PEACE ACADEMY","COMMUNITY OF PEACE ACADEMY"
00-01,MCA,03/27/2001,4015,7,10,"COMMUNITY OF PEACE ACADEMY         ","COMMUNITY OF PEACE ACADEMY         ",3,M,11,EconomicStatus,"Eligible for Free/Reduced Priced Meals",N,38,14,20,3,1,0,36.84,52.63,7.89,2.63,0,1224.21,NULL,NULL,NULL,NULL,40,44,422,9,Y,109,"Saint Paul","COMMUNITY OF PEACE ACADEMY","COMMUNITY OF PEACE ACADEMY"
00-01,MCA,03/27/2001,4015,7,10,"COMMUNITY OF PEACE ACADEMY         ","COMMUNITY OF PEACE ACADEMY         ",3,M,12,"Student Stability","Enrolled in Same School On October 1",N,43,15,22,4,2,0,34.88,51.16,9.3,4.65,0,1244.65,NULL,NULL,NULL,NULL,40,44,422,9,Y,109,"Saint Paul","COMMUNITY OF PEACE ACADEMY","COMMUNITY OF PEACE ACADEMY"
00-01,MCA,03/13/2001,4015,7,10,"COMMUNITY OF PEACE ACADEMY         ","COMMUNITY OF PEACE ACADEMY         ",3,R,1,"All Categories","All Students",N,44,26,14,3,0,1,59.09,31.82,6.82,0,2.27,1230.23,NULL,NULL,NULL,NULL,40,44,422,9,Y,109,"Saint Paul","COMMUNITY OF PEACE ACADEMY","COMMUNITY OF PEACE ACADEMY"
